1628899200000,1.51100000,1.51249000,1.50854000,1.50854000,292277.80000000,1628899259999,441418.75784100,580,154664.50000000,233585.01691000,0
1628899260000,1.50854000,1.51223000,1.50466000,1.50504000,442235.20000000,1628899319999,667138.11247700,744,164750.70000000,248657.67260300,0
1628899320000,1.50486000,1.50680000,1.50087000,1.50420000,457460.20000000,1628899379999,687671.58707300,830,282338.50000000,424445.15321100,0
1628899380000,1.50417000,1.50586000,1.50209000,1.50306000,281089.20000000,1628899439999,422778.00430600,560,126059.60000000,189623.52452000,0
1628899440000,1.50317000,1.50406000,1.49842000,1.50138000,420288.00000000,1628899499999,630752.32239000,722,207695.00000000,311621.44351900,0
1628899500000,1.50137000,1.50197000,1.49624000,1.49697000,335390.70000000,1628899559999,502719.45264100,663,137644.40000000,206363.65623500,0
1628899560000,1.49632000,1.49775000,1.49350000,1.49450000,287585.90000000,1628899619999,430020.68933500,848,143921.50000000,215226.42661000,0
1628899620000,1.49493000,1.49942000,1.49236000,1.49942000,192350.40000000,1628899679999,287639.40716300,565,120435.70000000,180147.18998400,0
1628899680000,1.49939000,1.50000000,1.49741000,1.49977000,200863.50000000,1628899739999,301093.27496000,688,123067.50000000,184495.89251300,0
1628899740000,1.49977000,1.50106000,1.49817000,1.49985000,162102.20000000,1628899799999,243100.40519300,314,93823.20000000,140721.57256300,0
1628899800000,1.49986000,1.50068000,1.49796000,1.49985000,147716.20000000,1628899859999,221468.42864200,253,65404.40000000,98076.46459700,0
1628899860000,1.50000000,1.50000000,1.49786000,1.49814000,78795.20000000,1628899919999,118125.10898400,217,29627.90000000,44418.91427800,0
1628899920000,1.49806000,1.49879000,1.49543000,1.49784000,74819.60000000,1628899979999,112029.42254300,222,35482.30000000,53129.46938000,0
1628899980000,1.49812000,1.49993000,1.49561000,1.49590000,95979.10000000,1628900039999,143776.49081700,235,51277.70000000,76824.01520600,0
1628900040000,1.49590000,1.49905000,1.49506000,1.49741000,141975.90000000,1628900099999,212584.88249100,259,62305.90000000,93292.80234800,0
1628900100000,1.49780000,1.49822000,1.49341000,1.49432000,132874.50000000,1628900159999,198750.76203100,395,54756.30000000,81906.82373100,0
1628900160000,1.49445000,1.49505000,1.49000000,1.49183000,168211.80000000,1628900219999,250966.59835800,529,70087.40000000,104562.55812900,0
1628900220000,1.49179000,1.49338000,1.48901000,1.48940000,103680.30000000,1628900279999,154601.00654900,390,46050.30000000,68679.50583400,0
1628900280000,1.48929000,1.49113000,1.48868000,1.48943000,114361.40000000,1628900339999,170348.63358900,291,64358.70000000,95881.35860300,0
1628900340000,1.48945000,1.48945000,1.48563000,1.48860000,98924.10000000,1628900399999,147172.02314400,515,41391.20000000,61585.21642700,0
1628900400000,1.48851000,1.48968000,1.48570000,1.48936000,113524.10000000,1628900459999,168946.34627000,312,46790.40000000,69656.07723500,0
1628900460000,1.48913000,1.49202000,1.48906000,1.49139000,139814.50000000,1628900519999,208428.39803600,314,86454.40000000,128895.28775200,0
1628900520000,1.49148000,1.49310000,1.49022000,1.49218000,200874.20000000,1628900579999,299690.53798800,614,107519.20000000,160430.73889100,0
1628900580000,1.49233000,1.49660000,1.49233000,1.49587000,159085.60000000,1628900639999,237683.45119500,302,109239.00000000,163203.98485000,0
1628900640000,1.49535000,1.49600000,1.49235000,1.49362000,279673.50000000,1628900699999,417912.37030600,312,165594.30000000,247464.25442500,0
1628900700000,1.49395000,1.49665000,1.49287000,1.49615000,155885.70000000,1628900759999,233137.85814600,250,113323.30000000,169486.07774500,0
1628900760000,1.49631000,1.49977000,1.49631000,1.49733000,151608.00000000,1628900819999,227143.28556800,364,101623.90000000,152260.31965900,0
1628900820000,1.49820000,1.50186000,1.49688000,1.49800000,325579.00000000,1628900879999,488291.71165100,534,140212.30000000,210262.77654800,0
1628900880000,1.49742000,1.49975000,1.49529000,1.49556000,83491.80000000,1628900939999,125026.59289800,215,36275.80000000,54337.64903000,0
1628900940000,1.49556000,1.49999000,1.49536000,1.49912000,255538.90000000,1628900999999,382861.14809000,350,150674.20000000,225695.80718500,0
1628901000000,1.49913000,1.49999000,1.49506000,1.49538000,123649.80000000,1628901059999,185230.14573400,250,45599.60000000,68287.70969000,0
1628901060000,1.49524000,1.49763000,1.49439000,1.49471000,318840.10000000,1628901119999,476834.66951800,283,143226.60000000,214161.48448900,0
1628901120000,1.49474000,1.49645000,1.49354000,1.49380000,109360.80000000,1628901179999,163501.79963100,222,54309.20000000,81198.59576000,0
1628901180000,1.49365000,1.49600000,1.49267000,1.49347000,174944.20000000,1628901239999,261398.75480000,235,105536.00000000,157674.13395000,0
1628901240000,1.49304000,1.49350000,1.48845000,1.49213000,459473.60000000,1628901299999,684820.05882500,588,261049.40000000,389012.38223600,0
1628901300000,1.49189000,1.49233000,1.48905000,1.48936000,103316.90000000,1628901359999,153953.36674400,202,40401.50000000,60213.42565600,0
1628901360000,1.48936000,1.48956000,1.47916000,1.48066000,1071707.20000000,1628901419999,1588173.57617500,2103,541379.50000000,802074.60836200,0
1628901420000,1.48089000,1.48483000,1.48084000,1.48471000,156659.50000000,1628901479999,232250.69889300,442,93949.80000000,139305.80747000,0
1628901480000,1.48458000,1.48485000,1.47915000,1.48140000,291062.20000000,1628901539999,431465.78495600,413,143512.70000000,212872.78214900,0
1628901540000,1.48140000,1.48140000,1.47560000,1.47978000,360759.40000000,1628901599999,533135.11847100,1061,152740.50000000,225737.00746900,0
1628901600000,1.47958000,1.48256000,1.47890000,1.48215000,138363.20000000,1628901659999,204951.21553900,368,64489.70000000,95523.62670700,0
